"NO","X","Y","Year"
"260","24.71203","'-26.94258","1964"
"261","20.7","'-26.9","1949"
"262","26.65146","'-26.85899","1936"
"263","27.1","'-26.71666667","1917"
"264","'-53.58","'-26.67","1973"
"265","27.969","'-26.653","1926"
"266","'-53.62","'-26.63","1971"
"267","28.55072","'-26.50315","1938"
"268","'-64.737","'-26.498","1940"
"269","'-52.648","'-26.474","1975"
"270","29.465","'-26.438","1930"
"271","26.76","'-26.28","1935"
"272","27.97502","'-26.21721","1937"
"273","27.67387","'-26.20227","1949"
"274","28.08333333","'-26.2","1904"
"275","'-58.177","'-26.183","1927"
"276","28.004309","'-26.178955","1928"
"277","26.15998","'-26.14814","1935"
"278","28.3667","'-26.13756","1936"
"279","26.17355","'-26.11537","1936"
"280","27.76666667","'-26.1","1924"
"281","28.2366","'-26.08147","1930"
"282","23.71666667","'-25.98333333","1957"
"283","29.80608","'-25.94624","1930"
"284","'-63.892","'-25.876","1940"
"285","25.65","'-25.86666667","1901"
"286","25.652","'-25.859","1940"
"287","28.28514","'-25.78283","1930"
"288","29.472","'-25.769","1939"
"289","28.24487","'-25.73967","1949"
"290","'-63.041","'-25.718","1932"
"291","27.24","'-25.67","1930"
"292","27.2509","'-25.64338","1935"
"293","'-64.962","'-25.502","1905"
"294","25.86666667","'-25.45","1935"
"295","'-48.711","'-25.439","1974"
"296","'-57.622","'-25.305","1928"
"297","'-49.23","'-25.29","1934"
"298","'-57.575926","'-25.26374","1899"
"299","'-57.489305","'-25.25628","1899"
"300","45.822","'-25.217","1973"
"301","46.085","'-25.185","1982"
"302","'-65.489","'-25.069","1932"
"303","'-50.805","'-25.033","1963"
"304","46.99","'-25.032","1926"
"305","'-64.991","'-25.023","1928"
"306","46.28","'-24.97","1981"
"307","'-64.27","'-24.81","1950"
"308","'-65.408","'-24.789","1905"
"309","'-49.699","'-24.778","1955"
"310","'-65.66","'-24.62","1928"
"311","'-51.344","'-24.574","1969"
"312","46.22","'-24.434","1928"
"313","30.03333333","'-24.41666667","1949"
"314","25.52","'-24.402","1933"
"315","'-65.11","'-24.383","1933"
"316","46.708","'-24.327","1928"
"317","'-65.21","'-24.28","1931"
"318","'-46.326409","'-23.95613","1899"
"319","35.388","'-23.874","1950"
"320","'-65.808","'-23.87","1928"
"321","'-65.47","'-23.86","1933"
"322","47.357","'-23.725","1933"
"323","'-47.03","'-23.71","1969"
"324","27.749","'-23.668","1938"
"325","'-46.56","'-23.62","1961"
"326","25.823","'-23.612","1979"
"327","'-46.73","'-23.6","1980"
"328","'-46.633309","'-23.55052","1899"
"329","'-46.63","'-23.55","1926"
"330","43.894","'-23.446","1982"
"331","'-50.356","'-23.406","1974"
"332","43.68","'-23.35","1965"
"333","32.82715","'-23.29181","1950"
"334","'-65.55542","'-23.28172","1928"
"335","32.84912","'-23.28172","1950"
"336","'-64.279","'-23.256","1932"
"337","'-46.82","'-23.22","1964"
"338","'-64.093","'-23.218","1932"
"339","'-46.82","'-23.21","1966"
"340","44.14","'-23.14","1975"
"341","'-47.71","'-23.09","1952"
"342","28.558","'-23.014","1935"
"343","'-51.651","'-22.976","1969"
"344","'-43.54","'-22.92","1950"
"345","'-43.17","'-22.91","1953"
"346","'-43.172896","'-22.906847","1906"
"347","47.42","'-22.86","1975"
"348","'-65.883","'-22.763","1905"
"349","46.12","'-22.76","1976"
"350","46.12","'-22.75","1967"
"351","'-43.455182","'-22.721573","1926"
"352","'-46.357","'-22.614","1973"
"353","46.369","'-22.574","1958"
"354","'-47.6","'-22.57","1935"
"355","'-63.811","'-22.552","1905"
"356","'-42.98","'-22.533","1985"
"357","'-47.455","'-22.483","1969"
"358","18.96666667","'-22.45","1950"
