Accession	BioProject	Strain	SRAAccession
SAMN00115249	PRJNA47685	YN472	SRS116782
SAMN00115248	PRJNA47685	YN2588	SRS116781
SAMN00115247	PRJNA47685	YN2551	SRS116780
SAMN00115246	PRJNA47685	YN2179	SRS116779
SAMN00115245	PRJNA47685	YN1683	SRS116778
SAMN00115244	PRJNA47685	YN1065	SRS116777
SAMN00115243	PRJNA47685	SHAN12	SRS116776
SAMN00115242	PRJNA47685	SHAN11	SRS116775
SAMN00115241	PRJNA47685	MGJZ9	SRS116774
SAMN00115240	PRJNA47685	MGJZ7	SRS116773
SAMN00115239	PRJNA47685	MGJZ6	SRS116772
SAMN00115238	PRJNA47685	MGJZ3	SRS116771
SAMN00115237	PRJNA47685	MGJZ12	SRS116770
SAMN00115236	PRJNA47685	MGJZ11	SRS116769
SAMN00115235	PRJNA47685	I160001	SRS116768
SAMN00115234	PRJNA47685	G8786	SRS116767
SAMN00115233	PRJNA47685	EV76	SRS116766
SAMN00115232	PRJNA47685	CMCCo10807	SRS116765
SAMN00115231	PRJNA47685	CMCCN010025	SRS116764
SAMN00115230	PRJNA47685	CMCCK110001	SRS116763
SAMN00115229	PRJNA47685	CMCCK100001	SRS116762
SAMN00115228	PRJNA47685	CMCC99103	SRS116761
SAMN00115227	PRJNA47685	I1970005	SRS116760
SAMN00115226	PRJNA47685	CMCC96007	SRS116759
SAMN00115225	PRJNA47685	CMCC96001	SRS116758
SAMN00115224	PRJNA47685	CMCC95001	SRS116757
SAMN00115223	PRJNA47685	CMCC93014	SRS116756
SAMN00115222	PRJNA47685	CMCC92010	SRS116755
SAMN00115221	PRJNA47685	CMCC92004	SRS116754
SAMN00115220	PRJNA47685	CMCC91090	SRS116753
SAMN00115219	PRJNA47685	CMCC90027	SRS116752
SAMN00115218	PRJNA47685	CMCC87001	SRS116751
SAMN00115217	PRJNA47685	CMCC84046	SRS116750
SAMN00115216	PRJNA47685	CMCC84038	SRS116749
SAMN00115215	PRJNA47685	CMCC84033	SRS116748
SAMN00115214	PRJNA47685	E1977001	SRS116747
SAMN00115213	PRJNA47685	CMCC8211	SRS116746
