BioSampleAccession	BioSampleComment
SAMN02403011	REMOVE
SAMN02403012	REMOVE
SAMN02403013	REMOVE
SAMN02403014	REMOVE
SAMN02403015	REMOVE
SAMN02403016	REMOVE
SAMN02403017	REMOVE
SAMN02403018	REMOVE
SAMN02403019	REMOVE
SAMN02403020	REMOVE
SAMN02403022	REMOVE
SAMN02403023	REMOVE
SAMN02403024	REMOVE
SAMN02403025	REMOVE
SAMN02403026	REMOVE
SAMN02403027	REMOVE
SAMN02403028	REMOVE
SAMN02403029	REMOVE
SAMN02403030	REMOVE
SAMN02403031	REMOVE
SAMN02403032	REMOVE
SAMN02403033	REMOVE
SAMN02403034	REMOVE
SAMN02403035	REMOVE
SAMN02403036	REMOVE
SAMN02403037	REMOVE
SAMN02403038	REMOVE
SAMN02403039	REMOVE
SAMN02403040	REMOVE
SAMN02403041	REMOVE
SAMN02403042	REMOVE
SAMN02403043	REMOVE
SAMN02403044	REMOVE
SAMN02403045	REMOVE
SAMN02403046	REMOVE
SAMN02403047	REMOVE
SAMN02403048	REMOVE
SAMN02403049	REMOVE
SAMN02403050	REMOVE
SAMN02403051	REMOVE
SAMN02403052	REMOVE
SAMN02403053	REMOVE
SAMN02403054	REMOVE
SAMN02403055	REMOVE
SAMN02403056	REMOVE
SAMN02403057	REMOVE
SAMN02403058	REMOVE
SAMN02403059	REMOVE
SAMN02403060	REMOVE
SAMN02403061	REMOVE
SAMN02403062	REMOVE
SAMN02403063	REMOVE
SAMN02403064	REMOVE
SAMN02403065	REMOVE
SAMN02403066	REMOVE
SAMN02403067	REMOVE
SAMN02403068	REMOVE
SAMN02403069	REMOVE
SAMN02403070	REMOVE
SAMN02403071	REMOVE
SAMN02403072	REMOVE
SAMN02403073	REMOVE
SAMN02403021	REMOVE
SAMN02403074	REMOVE
SAMN02403075	REMOVE
SAMN02403076	REMOVE
SAMN02403077	REMOVE
SAMN02403078	REMOVE
SAMN02403079	REMOVE
SAMN02403080	REMOVE
SAMN02403081	REMOVE
SAMN02403082	REMOVE
SAMN02403083	REMOVE
SAMN02403084	REMOVE
SAMN02403085	REMOVE
SAMN02403086	REMOVE
SAMN02403087	REMOVE
SAMN02403088	REMOVE
SAMN02403089	REMOVE
SAMN02403090	REMOVE
SAMN02403091	REMOVE
SAMN02403092	REMOVE
SAMN02403093	REMOVE
SAMN02403094	REMOVE
SAMN02403095	REMOVE
SAMN02403096	REMOVE
SAMN02403097	REMOVE
SAMN02403098	REMOVE
SAMN02403099	REMOVE
SAMN02403100	REMOVE
SAMN02403101	REMOVE
SAMN02403102	REMOVE
SAMN02403103	REMOVE
SAMN02403104	REMOVE
SAMN02403105	REMOVE
SAMN02403106	REMOVE
SAMN02403107	REMOVE
SAMN02403108	REMOVE
SAMN02141506	REMOVE
SAMN02141503	REMOVE
SAMN02141500	REMOVE
SAMN02141467	REMOVE
SAMN02141463	REMOVE
SAMN02141462	REMOVE
SAMN02141460	REMOVE
SAMN02141459	REMOVE
SAMN02141458	REMOVE
SAMN02141457	REMOVE
SAMN02141456	REMOVE
SAMN02141455	REMOVE
SAMN02141505	REMOVE
SAMN02141504	REMOVE
SAMN02141502	REMOVE
SAMN02141501	REMOVE
SAMN02141499	REMOVE
SAMN02141498	REMOVE
SAMN02141497	REMOVE
SAMN02141496	REMOVE
SAMN02141495	REMOVE
SAMN02141494	REMOVE
SAMN02141493	REMOVE
SAMN02141492	REMOVE
SAMN02141491	REMOVE
SAMN02141490	REMOVE
SAMN02141489	REMOVE
SAMN02141488	REMOVE
SAMN02141487	REMOVE
SAMN02141486	REMOVE
SAMN02141485	REMOVE
SAMN02141484	REMOVE
SAMN02141483	REMOVE
SAMN02141482	REMOVE
SAMN02141481	REMOVE
SAMN02141480	REMOVE
SAMN02141479	REMOVE
SAMN02141478	REMOVE
SAMN02141477	REMOVE
SAMN02141476	REMOVE
SAMN02141475	REMOVE
SAMN02141474	REMOVE
SAMN02141473	REMOVE
SAMN02141472	REMOVE
SAMN02141471	REMOVE
SAMN02141470	REMOVE
SAMN02141469	REMOVE
SAMN02141468	REMOVE
SAMN02141466	REMOVE
SAMN02141465	REMOVE
SAMN02141464	REMOVE
SAMN02141461	REMOVE
SAMN02141454	REMOVE
SAMN02141453	REMOVE
SAMN02141452	REMOVE
SAMN02141451	REMOVE
SAMN02141450	REMOVE
SAMN02141449	REMOVE
SAMN02141448	REMOVE
SAMN07257404	REMOVE
SAMN07257403	REMOVE
SAMN07257402	REMOVE
SAMN07257401	REMOVE
SAMN07257400	REMOVE
SAMN07257399	REMOVE
SAMN07257398	REMOVE
SAMN06854807	REMOVE
SAMN06854806	REMOVE
SAMN06854805	REMOVE
SAMN06854160	REMOVE
SAMN06854159	REMOVE
SAMN06854158	REMOVE
SAMN03160774	REMOVE
SAMN04032844	REMOVE
SAMN03399930	REMOVE
SAMN03399929	REMOVE
SAMN02678313	REMOVE
SAMN02678312	REMOVE
SAMN02678311	REMOVE
SAMN03399931	REMOVE
SAMN03399932	REMOVE
SAMN00222601	REMOVE
SAMN01818177	REMOVE
SAMN00004706	REMOVE
SAMN01991279	REMOVE
SAMEA3673143	REMOVE
SAMN02923783	REMOVE
SAMEA3673143	REMOVE
SAMN03955852	REMOVE
SAMN03074123	REMOVE
SAMN03955850	REMOVE
SAMN03177051	REMOVE
SAMN03955851	REMOVE
SAMN03174669	REMOVE
SAMN00115251	REMOVE
SAMN02905649	REMOVE
SAMN02769655	REMOVE
SAMN03121016	REMOVE
SAMN03955854	REMOVE
SAMN03256423	REMOVE
SAMN03256423	REMOVE
SAMN03256459	REMOVE
SAMN03256461	REMOVE
SAMN03256462	REMOVE
