#Position (bp)	mapping quality
2831588.0	59.96974098281288
2843663.0	60.0
2855738.0	59.99776427140089
2867813.0	60.0
2879888.0	59.99621322458491
2891963.0	59.95541256966786
2904038.0	60.0
2916113.0	60.0
2928188.0	60.0
2940263.0	60.0
2952338.0	59.909368952170304
2964413.0	60.0
2976488.0	59.954887218045116
2988563.0	59.913752682548555
3000638.0	60.0
3012713.0	60.0
3024788.0	60.0
3036863.0	60.0
3048938.0	59.9636803874092
3061013.0	59.95411829500462
3073088.0	60.0
3085163.0	60.0
3097238.0	59.96257814563705
3109313.0	60.0
3121388.0	59.92535456581239
3133463.0	0.0
3145538.0	0.0
3157613.0	59.95476022921484
3169688.0	60.0
3181763.0	60.0
3193838.0	59.92369020501139
3205913.0	59.91608594206723
3217988.0	60.0
3230063.0	60.0
3242138.0	59.98915871639202
3254213.0	59.9606427432904
3266288.0	59.98395815170009
3278363.0	59.874161073825505
3290438.0	59.945317840054685
3302513.0	60.0
3314588.0	59.953280422172426
3326663.0	60.0
3338738.0	59.9634697130712
3350813.0	59.94492440604752
3362888.0	60.0
3374963.0	60.0
3387038.0	60.0
3399113.0	60.0
3411188.0	59.93581983117465
3423263.0	59.896162528216706
3435338.0	60.0
3447413.0	59.9055036344756
3459488.0	59.835074859638176
3471563.0	59.995419225679484
3483638.0	59.97027195832264
3495713.0	60.0
3507788.0	60.0
3519863.0	60.0
3531938.0	60.0
3544013.0	59.8982038637289
3556088.0	59.93952483801296
3568163.0	60.0
3580238.0	59.87970487333081
3592313.0	60.0
3604388.0	60.0
3616463.0	60.0
3628538.0	59.95762711864407
3640613.0	60.0
3652688.0	59.89561190403887
3664763.0	59.876592842893785
3676838.0	59.9355929662835
3688913.0	60.0
3700988.0	59.978880151069035
3713063.0	59.95152903851238
3725138.0	60.0
3737213.0	60.0
3749288.0	60.0
3761363.0	60.0
3773438.0	60.0
3785513.0	60.0
3797588.0	60.0
3809663.0	60.0
3821738.0	59.97081081081081
3833813.0	59.97036427248405
3845888.0	60.0
3857963.0	60.0
3870038.0	60.0
3882113.0	59.9237443231885
3894188.0	60.0
3906263.0	59.9573732718894
3918338.0	60.0
3930413.0	60.0
3942488.0	59.96004319654428
3954563.0	59.87790294056541
3966638.0	59.99527944446515
3978713.0	59.942764578833696
3990788.0	60.0
4002863.0	59.95035989079176
