strain	accession	date	host	region	country	location	strainDateCountry	db	authors	cluster	paper_url	title
GCA_003797205.1_ASM379720v1_genomic	GCA_3797205	1969-XX-XX	UCC strain	South America	Bolivia	TBD	FDAARGOS_605_1969_Bolivia	genbank	Author_Placeholder	Biovar_Placeholder	https://www.ncbi.nlm.nih.gov/	Title_Placeholder
GCA_003798085.1_ASM379808v1_genomic	GCA_3798085	1957-XX-XX	Rat (Unspecified)	Eurasia	Indonesia	TBD	FDAARGOS_604_1957_Indonesia	genbank	Author_Placeholder	Biovar_Placeholder	https://www.ncbi.nlm.nih.gov/	Title_Placeholder
GCA_003798345.1_ASM379834v1_genomic	GCA_3798345	1984-XX-XX	UCC strain	Eurasia	Russia	TBD	FDAARGOS_602_1984_Russia	genbank	Author_Placeholder	Biovar_Placeholder	https://www.ncbi.nlm.nih.gov/	Title_Placeholder
GCA_003798225.1_ASM379822v1_genomic	GCA_3798225	1954-XX-XX	UCC strain	Africa	Democratic Republic of the Congo	TBD	FDAARGOS_601_1954_DRC	genbank	Author_Placeholder	Biovar_Placeholder	https://www.ncbi.nlm.nih.gov/	Title_Placeholder
GCA_004023595.1_ASM402359v1_genomic	GCA_4023595	2005-05-XX	Rhombomys	Eurasia	China	TBD	2514_2005_China	genbank	Author_Placeholder	Biovar_Placeholder	https://www.ncbi.nlm.nih.gov/	Title_Placeholder
GCA_004023585.1_ASM402358v1_genomic	GCA_4023585	2005-05-XX	Rhombomys	Eurasia	China	TBD	2513_2005_China	genbank	Author_Placeholder	Biovar_Placeholder	https://www.ncbi.nlm.nih.gov/	Title_Placeholder
GCA_003122795.1_Y.pestis_I-2422_genomic	GCA_3122795	1974-XX-XX	Amphalius	Eurasia	Mongolia	TBD	I-2422_1974_Mongolia	genbank	Author_Placeholder	Biovar_Placeholder	https://www.ncbi.nlm.nih.gov/	Title_Placeholder
GCA_003074535.1_ASM307453v1_genomic	GCA_3074535	1952-XX-XX	Oropsylla	Eurasia	Kyrgyzstan	TBD	5M_1952_Kyrgyzstan	genbank	Author_Placeholder	Biovar_Placeholder	https://www.ncbi.nlm.nih.gov/	Title_Placeholder
GCA_003074595.1_ASM307459v1_genomic	GCA_3074595	1967-XX-XX	Marmota	Eurasia	Kyrgyzstan	TBD	262_1967_Kyrgyzstan	genbank	Author_Placeholder	Biovar_Placeholder	https://www.ncbi.nlm.nih.gov/	Title_Placeholder
GCA_003074335.1_ASM307433v1_genomic	GCA_3074335	1966-12-08	Nosopsyllus	Eurasia	Azerbaijan	TBD	44_1966_Azerbaijan	genbank	Author_Placeholder	Biovar_Placeholder	https://www.ncbi.nlm.nih.gov/	Title_Placeholder
GCA_003074255.1_ASM307425v1_genomic	GCA_3074255	2012-06-06	Urocitellus	Eurasia	Russia	TBD	1454_2012_Russia	genbank	Author_Placeholder	Biovar_Placeholder	https://www.ncbi.nlm.nih.gov/	Title_Placeholder
GCA_003074175.1_ASM307417v1_genomic	GCA_3074175	1983-05-23	Lasiopodomys	Eurasia	Mongolia	TBD	I-3086_1983_Mongolia	genbank	Author_Placeholder	Biovar_Placeholder	https://www.ncbi.nlm.nih.gov/	Title_Placeholder
GCA_002993145.1_ASM299314v1_genomic	GCA_2993145	1980-03-06	Microtus	Eurasia	Russia	TBD	1393G_1980_Russia	genbank	Author_Placeholder	Biovar_Placeholder	https://www.ncbi.nlm.nih.gov/	Title_Placeholder
GCA_003074435.1_ASM307443v1_genomic	GCA_3074435	1984-08-14	Microtus	Eurasia	Armenia	TBD	KM874_1984_Armenia	genbank	Author_Placeholder	Biovar_Placeholder	https://www.ncbi.nlm.nih.gov/	Title_Placeholder
GCA_003074415.1_ASM307441v1_genomic	GCA_3074415	1979-10-10	Ctenophthalmus	Eurasia	Armenia	TBD	3551_1979_Armenia	genbank	Author_Placeholder	Biovar_Placeholder	https://www.ncbi.nlm.nih.gov/	Title_Placeholder
GCA_003074395.1_ASM307439v1_genomic	GCA_3074395	1979-10-05	Microtus	Eurasia	Armenia	TBD	3544_1979_Armenia	genbank	Author_Placeholder	Biovar_Placeholder	https://www.ncbi.nlm.nih.gov/	Title_Placeholder
GCA_003074375.1_ASM307437v1_genomic	GCA_3074375	1955-08-19	Meriones	Eurasia	Azerbaijan	TBD	261_1955_Azerbaijan	genbank	Author_Placeholder	Biovar_Placeholder	https://www.ncbi.nlm.nih.gov/	Title_Placeholder
GCA_003074355.1_ASM307435v1_genomic	GCA_3074355	1967-01-13	Meriones	Eurasia	Azerbaijan	TBD	1240_1967_Azerbaijan	genbank	Author_Placeholder	Biovar_Placeholder	https://www.ncbi.nlm.nih.gov/	Title_Placeholder
GCA_003074315.1_ASM307431v1_genomic	GCA_3074315	1987-07-22	Citellophilus	Eurasia	Russia	TBD	I-3223_1987_Russia	genbank	Author_Placeholder	Biovar_Placeholder	https://www.ncbi.nlm.nih.gov/	Title_Placeholder
GCA_003074295.1_ASM307429v1_genomic	GCA_3074295	1967-08-25	Homo	Eurasia	Kazakhstan	TBD	244_1967_Kazakhstan	genbank	Author_Placeholder	Biovar_Placeholder	https://www.ncbi.nlm.nih.gov/	Title_Placeholder
GCA_003074275.1_ASM307427v1_genomic	GCA_3074275	1986-08-28	Coleophora	Eurasia	Russia	TBD	C-627_1986_Russia	genbank	Author_Placeholder	Biovar_Placeholder	https://www.ncbi.nlm.nih.gov/	Title_Placeholder
GCA_003074235.1_ASM307423v1_genomic	GCA_3074235	1988-07-05	Ochotona	Eurasia	Mongolia	TBD	I-3244_1988_Mongolia	genbank	Author_Placeholder	Biovar_Placeholder	https://www.ncbi.nlm.nih.gov/	Title_Placeholder
GCA_003074215.1_ASM307421v1_genomic	GCA_3074215	2015-06-08	Oropsylla	Eurasia	Russia	TBD	349_2015_Russia	genbank	Author_Placeholder	Biovar_Placeholder	https://www.ncbi.nlm.nih.gov/	Title_Placeholder
GCA_003085995.1_ASM308599v1_genomic	GCA_3085995	2014-04-12	Meriones	Eurasia	Russia	TBD	1906_2014_Russia	genbank	Author_Placeholder	Biovar_Placeholder	https://www.ncbi.nlm.nih.gov/	Title_Placeholder
GCA_002412255.1_Y.pestis_A-1836_genomic	GCA_2412255	1983-03-20	Marmota	Eurasia	Kyrgyzstan	TBD	A-1836_1983_Kyrgyzstan	genbank	Author_Placeholder	Biovar_Placeholder	https://www.ncbi.nlm.nih.gov/	Title_Placeholder
GCA_003086015.1_ASM308601v1_genomic	GCA_3086015	2012-08-21	Marmota	Eurasia	Russia	TBD	M-1944_2012_Russia	genbank	Author_Placeholder	Biovar_Placeholder	https://www.ncbi.nlm.nih.gov/	Title_Placeholder
GCA_003085935.1_ASM308593v1_genomic	GCA_3085935	1958-11-23	Homo	Eurasia	Armenia	TBD	835_1958_Armenia	genbank	Author_Placeholder	Biovar_Placeholder	https://www.ncbi.nlm.nih.gov/	Title_Placeholder
GCA_003086055.1_ASM308605v1_genomic	GCA_3086055	2014-03-20	Mus	Eurasia	Russia	TBD	595_2014_Russia	genbank	Author_Placeholder	Biovar_Placeholder	https://www.ncbi.nlm.nih.gov/	Title_Placeholder
GCA_003085955.1_ASM308595v1_genomic	GCA_3085955	2014-09-20	Paradoxopsyllus	Eurasia	Russia	TBD	1313_2014_Russia	genbank	Author_Placeholder	Biovar_Placeholder	https://www.ncbi.nlm.nih.gov/	Title_Placeholder
GCA_003085895.1_ASM308589v1_genomic	GCA_3085895	1982-08-27	Ochotona	Eurasia	Russia	TBD	I-2998_1982_Russia	genbank	Author_Placeholder	Biovar_Placeholder	https://www.ncbi.nlm.nih.gov/	Title_Placeholder
GCA_002412225.1_Y.pestis_A-1486_genomic	GCA_2412225	1966-11-25	Marmota	Eurasia	Kyrgyzstan	TBD	A-1486_1966_Kyrgyzstan	genbank	Author_Placeholder	Biovar_Placeholder	https://www.ncbi.nlm.nih.gov/	Title_Placeholder
GCA_003085875.1_ASM308587v1_genomic	GCA_3085875	1975-07-15	Homo	Eurasia	Armenia	TBD	M-986_1975_Armenia	genbank	Author_Placeholder	Biovar_Placeholder	https://www.ncbi.nlm.nih.gov/	Title_Placeholder
GCA_002412235.1_Y.pestis_A-1249_genomic	GCA_2412235	1970-04-18	Neodon	Eurasia	Tajikistan	TBD	A-1249_1970_Tajikistan	genbank	Author_Placeholder	Biovar_Placeholder	https://www.ncbi.nlm.nih.gov/	Title_Placeholder
GCA_003085915.1_ASM308591v1_genomic	GCA_3085915	2014-09-21	Homo	Eurasia	Russia	TBD	517_2014_Russia	genbank	Author_Placeholder	Biovar_Placeholder	https://www.ncbi.nlm.nih.gov/	Title_Placeholder
GCA_002412305.1_Y.pestis_A-1809_genomic	GCA_2412305	1980-08-28	Pectinoctenus	Eurasia	Kyrgyzstan	TBD	A-1809_1980_Kyrgyzstan	genbank	Author_Placeholder	Biovar_Placeholder	https://www.ncbi.nlm.nih.gov/	Title_Placeholder
GCA_003086095.1_ASM308609v1_genomic	GCA_3086095	1993-05-09	Rhombomys	Eurasia	Kazakhstan	TBD	M-1524_1993_Kazakhstan	genbank	Author_Placeholder	Biovar_Placeholder	https://www.ncbi.nlm.nih.gov/	Title_Placeholder
GCA_003086115.1_ASM308611v1_genomic	GCA_3086115	1988-07-08	Rhombomys	Eurasia	Kazakhstan	TBD	A-1920_1988_Kazakhstan	genbank	Author_Placeholder	Biovar_Placeholder	https://www.ncbi.nlm.nih.gov/	Title_Placeholder
GCA_003086075.1_ASM308607v1_genomic	GCA_3086075	1983-03-16	Rhombomys	Eurasia	Uzbekistan	TBD	A-1825_1983_Uzbekistan	genbank	Author_Placeholder	Biovar_Placeholder	https://www.ncbi.nlm.nih.gov/	Title_Placeholder
GCA_003086035.1_ASM308603v1_genomic	GCA_3086035	2012-09-23	Ochotona	Eurasia	Russia	TBD	2751-55_2012_Russia	genbank	Author_Placeholder	Biovar_Placeholder	https://www.ncbi.nlm.nih.gov/	Title_Placeholder
GCA_001693595.1_ASM169359v1_genomic	GCA_1693595	2016-06-06	Homo	North America	USA	TBD	Cadman_2016_USA	genbank	Author_Placeholder	Biovar_Placeholder	https://www.ncbi.nlm.nih.gov/	Title_Placeholder
GCA_003085855.1_ASM308585v1_genomic	GCA_3085855	2002-05-17	Meriones	Eurasia	Russia	TBD	M-1773_2002_Russia	genbank	Author_Placeholder	Biovar_Placeholder	https://www.ncbi.nlm.nih.gov/	Title_Placeholder
GCA_001559935.1_ASM155993v1_genomic	GCA_1559935	1989-XX-XX	Ctenophthalmus	Eurasia	Russia	TBD	KM918_1989_Russia	genbank	Author_Placeholder	Biovar_Placeholder	https://www.ncbi.nlm.nih.gov/	Title_Placeholder
GCA_001617815.1_Yersinia_pestis_M-1453_genomic	GCA_1617815	1991-XX-XX	Rhombomys	Eurasia	Kazakhstan	TBD	M-1453_1991_Kazakhstan	genbank	Author_Placeholder	Biovar_Placeholder	https://www.ncbi.nlm.nih.gov/	Title_Placeholder
GCA_001617805.1_Yersinia_pestis_173_genomic	GCA_1617805	1978-XX-XX	Rhombomys	Eurasia	Kazakhstan	TBD	173_1978_Kazakhstan	genbank	Author_Placeholder	Biovar_Placeholder	https://www.ncbi.nlm.nih.gov/	Title_Placeholder
GCA_001617785.1_Yersinia_pestis_M-549_genomic	GCA_1617785	1977-XX-XX	Rhombomys	Eurasia	Turkmenistan	TBD	M-549_1977_Turkmenistan	genbank	Author_Placeholder	Biovar_Placeholder	https://www.ncbi.nlm.nih.gov/	Title_Placeholder
GCA_001617715.1_Yersinia_pestis_M-519_genomic	GCA_1617715	1967-XX-XX	Rhombomys	Eurasia	Turkmenistan	TBD	M-519_1967_Turkmenistan	genbank	Author_Placeholder	Biovar_Placeholder	https://www.ncbi.nlm.nih.gov/	Title_Placeholder
GCA_001617735.1_Yersinia_pestis_M-1763_genomic	GCA_1617735	2002-XX-XX	Nosopsyllus	Eurasia	Russia	TBD	M-1763_2002_Russia	genbank	Author_Placeholder	Biovar_Placeholder	https://www.ncbi.nlm.nih.gov/	Title_Placeholder
GCA_001613895.1_ASM161389v1_genomic	GCA_1613895	1990-XX-XX	Rhombomys	Eurasia	Turkmenistan	TBD	KM-816_1990_Turkmenistan	genbank	Author_Placeholder	Biovar_Placeholder	https://www.ncbi.nlm.nih.gov/	Title_Placeholder
GCA_001613885.1_ASM161388v1_genomic	GCA_1613885	1990-XX-XX	Spermophilus	Eurasia	Russia	TBD	M-978_1990_Russia	genbank	Author_Placeholder	Biovar_Placeholder	https://www.ncbi.nlm.nih.gov/	Title_Placeholder
GCA_001613865.1_ASM161386v1_genomic	GCA_1613865	1971-XX-XX	Spermophilus	Eurasia	Russia	TBD	1116-D_1971_Russia	genbank	Author_Placeholder	Biovar_Placeholder	https://www.ncbi.nlm.nih.gov/	Title_Placeholder
GCA_001601735.1_ASM160173v1_genomic	GCA_1601735	1980-XX-XX	Callopsylla	Eurasia	Kyrgyzstan	TBD	A-1815_1980_Kyrgyzstan	genbank	Author_Placeholder	Biovar_Placeholder	https://www.ncbi.nlm.nih.gov/	Title_Placeholder
GCA_001601675.1_ASM160167v1_genomic	GCA_1601675	1999-XX-XX	Megabothris	Eurasia	Russia	TBD	C741_1999_Russia	genbank	Author_Placeholder	Biovar_Placeholder	https://www.ncbi.nlm.nih.gov/	Title_Placeholder
GCA_001595585.1_ASM159558v1_genomic	GCA_1595585	2009-XX-XX	Meriones	Eurasia	Russia	TBD	M-1864_2009_Russia	genbank	Author_Placeholder	Biovar_Placeholder	https://www.ncbi.nlm.nih.gov/	Title_Placeholder
GCA_000705315.1_EDB10_058v1_genomic	GCA_705315	2010-07-01	Cynomys	North America	Canada	TBD	EBD10-058_2010_Canada	genbank	Author_Placeholder	Biovar_Placeholder	https://www.ncbi.nlm.nih.gov/	Title_Placeholder
GCA_000269245.1_ASM26924v1_genomic	GCA_269245	2010-XX-XX	Homo	South America	Peru	TBD	PY-113_2010_Peru	genbank	Author_Placeholder	Biovar_Placeholder	https://www.ncbi.nlm.nih.gov/	Title_Placeholder
GCA_000269465.1_ASM26946v1_genomic	GCA_269465	2010-XX-XX	Homo	South America	Peru	TBD	PY-101_2010_Peru	genbank	Author_Placeholder	Biovar_Placeholder	https://www.ncbi.nlm.nih.gov/	Title_Placeholder
GCA_000269165.1_ASM26916v1_genomic	GCA_269165	2010-XX-XX	Homo	South America	Peru	TBD	PY-98_2010_Peru	genbank	Author_Placeholder	Biovar_Placeholder	https://www.ncbi.nlm.nih.gov/	Title_Placeholder
