Name	Date
GCA_000324425.1_ASM32442v1_genomic	1982
GCA_000325485.1_ASM32548v1_genomic	1982
GCA_000324645.1_ASM32464v1_genomic	1991
GCA_000325445.1_ASM32544v1_genomic	2000
GCA_000325425.1_ASM32542v1_genomic	2002
GCA_000170275.1_ASM17027v1_genomic	1991
GCA_000325405.1_ASM32540v1_genomic	1995
GCA_000834235.1_ASM83423v1_genomic	[1950:2000]
GCA_000182505.1_ASM18250v1_genomic	[1898:1950]
IP579	1908
GCA_000324825.1_ASM32482v1_genomic	1946
GCA_000324845.1_ASM32484v1_genomic	1954
GCA_000325365.1_ASM32536v1_genomic	1954
GCA_000325385.1_ASM32538v1_genomic	1977
GCA_000022825.1_ASM2282v1_genomic	1982
GCA_000324385.1_ASM32438v1_genomic	1982
GCA_000325465.1_ASM32546v1_genomic	1957
GCA_000324765.1_ASM32476v1_genomic	1977
GCA_000324365.1_ASM32436v1_genomic	1979
GCA_000324405.1_ASM32440v1_genomic	1984
GCA_000324785.1_ASM32478v1_genomic	1979
GCA_000022805.1_ASM2280v1_genomic	2006
GCA_000323285.1_ASM32328v1_genomic	1976
GCA_000324105.1_ASM32410v1_genomic	1990
GCA_000022845.1_ASM2284v1_genomic	1976
GCA_000323805.1_ASM32380v1_genomic	1965
GCA_000324725.1_ASM32472v1_genomic	1982
GCA_000324705.1_ASM32470v1_genomic	1964
GCA_000324685.1_ASM32468v1_genomic	1964
GCA_000323825.1_ASM32382v1_genomic	1954
GCA_000323685.1_ASM32368v1_genomic	1997
GCA_000324085.1_ASM32408v1_genomic	1991
GCA_000324745.1_ASM32474v1_genomic	1991
GCA_000323445.1_ASM32344v1_genomic	2004
GCA_000323865.1_ASM32386v1_genomic	1988
GCA_000323885.1_ASM32388v1_genomic	1964
GCA_000323545.1_ASM32354v1_genomic	1971
GCA_000323745.1_ASM32374v1_genomic	1975
GCA_000324285.1_ASM32428v1_genomic	1964
GCA_000323785.1_ASM32378v1_genomic	1989
GCA_000323965.1_ASM32396v1_genomic	1954
GCA_000325165.1_ASM32516v1_genomic	1985
GCA_000323605.1_ASM32360v1_genomic	1978
GCA_000013825.1_ASM1382v1_genomic	1965
GCA_003798225.1_ASM379822v1_genomic	1954
GCA_000169615.1_ASM16961v1_genomic	2004
IP542	1952
IP543	1953
GCA_000835005.1_ASM83500v1_genomic	1985
SAMEA5054090	[1300:1400]
SAMEA3937654	[1362:1400]
SAMEA5054089	[1300:1400]
SAMEA5818818	[1485:1635]
SAMEA5818822	[1485:1635]
SAMEA5818825	[1485:1635]
SAMEA5818830	[1485:1635]
SAMEA5818829	[1485:1635]
SAMEA5818826	[1485:1635]
SAMEA5818828	[1485:1635]
SAMEA5818821	[1485:1635]
SAMEA5818803	[1618:1648]
SAMEA5818808	[1455:1632]
SAMEA3713711	[1720:1722]
SAMEA3713714	[1720:1722]
SAMEA3713712	[1720:1722]
SAMEA3713713	[1720:1722]
SAMEA3713715	[1720:1722]
SAMEA5818798	[1560:1635]
SAMEA5818801	[1560:1635]
SAMEA5818799	[1560:1635]
SAMEA5818800	[1560:1635]
SAMEA5818805	[1485:1627]
SAMEA5818815	[1475:1536]
SAMEA5818817	[1420:1630]
SAMEA5818809	[1283:1390]
SAMEA3937653	[1300:1420]
SAMEA5818811	[1292:1392]
SAMN00715800	[1348:1350]
SAMEA5054092	[1270:1390]
SAMEA5054093	[1279:1389]
SAMEA5818806	[1300:1400]
GCA_001595585.1_ASM159558v1_genomic	2009
GCA_003085995.1_ASM308599v1_genomic	2014
GCA_003086055.1_ASM308605v1_genomic	2014
GCA_008630485.1_ASM863048v1_genomic	1997
GCA_001613885.1_ASM161388v1_genomic	1990
GCA_001617705.1_Yersinia_pestis_C-791_genomic	2003
GCA_008630575.1_ASM863057v1_genomic	1984
GCA_008630395.1_ASM863039v1_genomic	1984
GCA_001617815.1_Yersinia_pestis_M-1453_genomic	1991
GCA_003085855.1_ASM308585v1_genomic	2002
GCA_001617715.1_Yersinia_pestis_M-519_genomic	1967
GCA_003085975.1_ASM308597v1_genomic	2014
GCA_003086155.1_ASM308615v1_genomic	1990
GCA_001617725.1_Yersinia_pestis_M-1484_genomic	1992
GCA_001188735.1_ASM118873v1_genomic	[1961:1976]
GCA_001617805.1_Yersinia_pestis_173_genomic	1978
GCA_006376475.1_ASM637647v1_genomic	1968
GCA_001617785.1_Yersinia_pestis_M-549_genomic	1977
GCA_001188815.1_ASM118881v1_genomic	1975
GCA_009296005.1_ASM929600v1_genomic	1953
GCA_000970105.1_ASM97010v1_genomic	2007
GCA_002529545.1_ASM252954v1_genomic	2009
GCA_000006645.1_ASM664v1_genomic	1968
GCA_000182705.1_ASM18270v1_genomic	[1968:1998]
GCA_001261975.1_YPW_8_IHQD_genomic	[1968:2015]
GCA_003074355.1_ASM307435v1_genomic	1967
GCA_003074375.1_ASM307437v1_genomic	1955
GCA_003074335.1_ASM307433v1_genomic	1966
IP557	1963
IP562	1947
GCA_006376495.1_ASM637649v1_genomic	1968
GCA_006376535.1_ASM637653v1_genomic	1970
GCA_006376415.1_ASM637641v1_genomic	1950
GCA_001559935.1_ASM155993v1_genomic	1989
GCA_001613865.1_ASM161386v1_genomic	1971
GCA_006376435.1_ASM637643v1_genomic	1959
GCA_004023585.1_ASM402358v1_genomic	2005
GCA_004023595.1_ASM402359v1_genomic	2005
GCA_000275685.1_ASM27568v1_genomic	2005
